"id","phoneNumber","area","wasteGeneratorTypes","houseNumber","floorNumber","householdType","personName","contactNumber","numberOfPeople","buildingPhoto","createdAt","updatedAt","dryRFID","drySlno","wetRFID","wetSlno","lat","lng"
4433,"7200000001","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-01","Ground floor","Owner","Aarav Kumar","8200000001","1",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000001","W20-D-000001","E2004720B0000000000001","W20-W-000001",12.90750000,77.62750000
4434,"7200000002","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-02","1st Floor","Tenant","Vihaan Kumar","8200000002","2",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000002","W20-D-000002","E2004720B0000000000002","W20-W-000002",12.90750200,77.62765000
4435,"7200000003","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-03","2nd Floor","Owner","Aditya Kumar","8200000003","3",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000003","W20-D-000003","E2004720B0000000000003","W20-W-000003",12.90750400,77.62780000
4436,"7200000004","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-04","3rd Floor","Tenant","Arjun Kumar","8200000004","4",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000004","W20-D-000004","E2004720B0000000000004","W20-W-000004",12.90750600,77.62795000
4437,"7200000005","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-05","Ground floor","Owner","Rohan Kumar","8200000005","5",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000005","W20-D-000005","E2004720B0000000000005","W20-W-000005",12.90750800,77.62810000
4438,"7200000006","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-06","1st Floor","Tenant","Rahul Kumar","8200000006","6",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000006","W20-D-000006","E2004720B0000000000006","W20-W-000006",12.90751000,77.62825000
4439,"7200000007","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-07","2nd Floor","Owner","Karthik Kumar","8200000007","1",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000007","W20-D-000007","E2004720B0000000000007","W20-W-000007",12.90751200,77.62840000
4440,"7200000008","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-08","3rd Floor","Tenant","Vikram Kumar","8200000008","2",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000008","W20-D-000008","E2004720B0000000000008","W20-W-000008",12.90751400,77.62855000
4441,"7200000009","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-09","Ground floor","Owner","Akash Kumar","8200000009","3",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000009","W20-D-000009","E2004720B0000000000009","W20-W-000009",12.90751600,77.62870000
4442,"7200000010","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-10","1st Floor","Tenant","Siddharth Kumar","8200000010","4",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A000000000000A","W20-D-000010","E2004720B000000000000A","W20-W-000010",12.90751800,77.62885000
4443,"7200000011","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-11","2nd Floor","Owner","Ananya Kumar","8200000011","5",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A000000000000B","W20-D-000011","E2004720B000000000000B","W20-W-000011",12.90752000,77.62900000
4444,"7200000012","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-12","3rd Floor","Tenant","Aadhya Kumar","8200000012","6",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A000000000000C","W20-D-000012","E2004720B000000000000C","W20-W-000012",12.90752200,77.62915000
4445,"7200000013","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-13","Ground floor","Owner","Diya Kumar","8200000013","1",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A000000000000D","W20-D-000013","E2004720B000000000000D","W20-W-000013",12.90752400,77.62930000
4446,"7200000014","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-14","1st Floor","Tenant","Ishita Kumar","8200000014","2",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A000000000000E","W20-D-000014","E2004720B000000000000E","W20-W-000014",12.90752600,77.62945000
4447,"7200000015","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-15","2nd Floor","Owner","Kavya Kumar","8200000015","3",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A000000000000F","W20-D-000015","E2004720B000000000000F","W20-W-000015",12.90752800,77.62960000
4448,"7200000016","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-16","3rd Floor","Tenant","Meera Kumar","8200000016","4",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000010","W20-D-000016","E2004720B0000000000010","W20-W-000016",12.90753000,77.62975000
4449,"7200000017","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-17","Ground floor","Owner","Sneha Kumar","8200000017","5",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000011","W20-D-000017","E2004720B0000000000011","W20-W-000017",12.90753200,77.62990000
4450,"7200000018","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-18","1st Floor","Tenant","Pooja Kumar","8200000018","6",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000012","W20-D-000018","E2004720B0000000000012","W20-W-000018",12.90753400,77.63005000
4451,"7200000019","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-19","2nd Floor","Owner","Riya Kumar","8200000019","1",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000013","W20-D-000019","E2004720B0000000000013","W20-W-000019",12.90753600,77.63020000
4452,"7200000020","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-20","3rd Floor","Tenant","Nandini Kumar","8200000020","2",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000014","W20-D-000020","E2004720B0000000000014","W20-W-000020",12.90753800,77.63035000
4453,"7200000021","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-21","Ground floor","Owner","Sanjay Kumar","8200000021","3",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000015","W20-D-000021","E2004720B0000000000015","W20-W-000021",12.90754000,77.63050000
4454,"7200000022","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-22","1st Floor","Tenant","Manoj Kumar","8200000022","4",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000016","W20-D-000022","E2004720B0000000000016","W20-W-000022",12.90754200,77.63065000
4455,"7200000023","Zone B - Division 20 - Ward 20 - Block 1","Individual HHs","1-23","2nd Floor","Owner","Suresh Kumar","8200000023","5",NULL,"2026-08-11 06:41:14.938","2026-08-11 06:41:14.938","E2004720A0000000000017","W20-D-000023","E2004720B0000000000017","W20-W-000023",12.90754400,77.63080000
