"id","phoneNumber","area","wasteGeneratorTypes","houseNumber","floorNumber","householdType","personName","contactNumber","numberOfPeople","buildingPhoto","createdAt","updatedAt","dryRFID","drySlno","wetRFID","wetSlno","lat","lng"
3433,"7010000001","Zone A - Division 1 - Ward 2 - Block 1","Individual HHs","1-01","Ground floor","Owner","Aarav Kumar","8010000001","1",NULL,"2026-08-11 06:40:00.404","2026-08-11 06:40:00.404","E2004702A0000000000001","W2-D-000001","E2004702B0000000000001","W2-W-000001",12.89750000,77.59750000
3434,"7010000002","Zone A - Division 1 - Ward 2 - Block 1","Individual HHs","1-02","1st Floor","Tenant","Vihaan Kumar","8010000002","2",NULL,"2026-08-11 06:40:00.404","2026-08-11 06:40:00.404","E2004702A0000000000002","W2-D-000002","E2004702B0000000000002","W2-W-000002",12.89750200,77.59765000
3435,"7010000003","Zone A - Division 1 - Ward 2 - Block 1","Individual HHs","1-03","2nd Floor","Owner","Aditya Kumar","8010000003","3",NULL,"2026-08-11 06:40:00.404","2026-08-11 06:40:00.404","E2004702A0000000000003","W2-D-000003","E2004702B0000000000003","W2-W-000003",12.89750400,77.59780000
3436,"7010000004","Zone A - Division 1 - Ward 2 - Block 1","Individual HHs","1-04","3rd Floor","Tenant","Arjun Kumar","8010000004","4",NULL,"2026-08-11 06:40:00.404","2026-08-11 06:40:00.404","E2004702A0000000000004","W2-D-000004","E2004702B0000000000004","W2-W-000004",12.89750600,77.59795000
3437,"7010000005","Zone A - Division 1 - Ward 2 - Block 1","Individual HHs","1-05","Ground floor","Owner","Rohan Kumar","8010000005","5",NULL,"2026-08-11 06:40:00.404","2026-08-11 06:40:00.404","E2004702A0000000000005","W2-D-000005","E2004702B0000000000005","W2-W-000005",12.89750800,77.59810000
3438,"7010000006","Zone A - Division 1 - Ward 2 - Block 1","Individual HHs","1-06","1st Floor","Tenant","Rahul Kumar","8010000006","6",NULL,"2026-08-11 06:40:00.404","2026-08-11 06:40:00.404","E2004702A0000000000006","W2-D-000006","E2004702B0000000000006","W2-W-000006",12.89751000,77.59825000
3439,"7010000007","Zone A - Division 1 - Ward 2 - Block 1","Individual HHs","1-07","2nd Floor","Owner","Karthik Kumar","8010000007","1",NULL,"2026-08-11 06:40:00.404","2026-08-11 06:40:00.404","E2004702A0000000000007","W2-D-000007","E2004702B0000000000007","W2-W-000007",12.89751200,77.59840000
3440,"7010000008","Zone A - Division 1 - Ward 2 - Block 1","Individual HHs","1-08","3rd Floor","Tenant","Vikram Kumar","8010000008","2",NULL,"2026-08-11 06:40:00.404","2026-08-11 06:40:00.404","E2004702A0000000000008","W2-D-000008","E2004702B0000000000008","W2-W-000008",12.89751400,77.59855000
3441,"7010000009","Zone A - Division 1 - Ward 2 - Block 1","Individual HHs","1-09","Ground floor","Owner","Akash Kumar","8010000009","3",NULL,"2026-08-11 06:40:00.404","2026-08-11 06:40:00.404","E2004702A0000000000009","W2-D-000009","E2004702B0000000000009","W2-W-000009",12.89751600,77.59870000
3442,"7010000010","Zone A - Division 1 - Ward 2 - Block 1","Individual HHs","1-10","1st Floor","Tenant","Siddharth Kumar","8010000010","4",NULL,"2026-08-11 06:40:00.404","2026-08-11 06:40:00.404","E2004702A000000000000A","W2-D-000010","E2004702B000000000000A","W2-W-000010",12.89751800,77.59885000
